Channel_no,Lon(East),Lat(North),Ht(G)
1,142885.398,476714.150,17.132,
2,142884.542,476716.052,16.902,
3,142883.806,476717.627,17.139,
4,142882.854,476718.899,18.227,
5,142882.240,476720.636,18.837,
6,142881.421,476722.440,19.373,
7,142880.490,476723.874,18.863,
8,142880.107,476725.495,19.420,
9,142879.145,476727.532,19.718,
10,142878.042,476729.670,20.310,
11,142877.462,476731.543,21.251,
12,142876.690,476733.158,21.185,
13,142875.035,476735.583,16.580,
14,142874.024,476737.358,16.540,
15,142873.052,476739.129,16.466,
16,142871.342,476741.296,16.053,
17,142870.602,476742.871,17.022,
18,142869.646,476744.675,17.008,
19,142868.730,476746.667,15.885,
20,142867.929,476748.382,16.546,
21,142866.980,476750.045,16.624,
22,142866.100,476751.858,16.469,
23,142865.602,476753.313,16.086,
24,142864.450,476754.647,14.574,
25,142863.449,476756.291,15.640,
26,142862.813,476757.643,15.733,
27,142861.718,476759.211,15.448,
28,142860.852,476760.832,15.044,
29,142860.118,476762.686,15.460,
30,142859.320,476764.401,15.395,
31,142858.326,476765.935,15.071,
32,142857.419,476767.537,15.038,
33,142856.304,476769.265,14.595,
34,142855.397,476770.970,14.754,
35,142854.455,476772.615,14.921,
36,142853.647,476774.276,16.313,
37,142852.763,476776.030,17.178,
38,142851.579,476777.703,16.541,
39,142850.666,476779.429,16.253,
40,142849.793,476781.047,15.867,
41,142848.862,476782.917,15.451,
42,142847.934,476784.839,14.967,
43,142847.016,476786.597,14.827,
44,142846.018,476788.441,14.695,
45,142845.185,476790.043,14.797,
46,142844.042,476793.235,14.976,
47,142842.768,476795.899,14.544,
48,142841.793,476797.386,14.433,

